ID,Title,Location,Salary,Summary
16dff836029458af,"모바일 앱 서버 개발(Java, Python)",휴먼디지털 서울,,"Python) 자격조건 - 정보시스템 설계 및 데이터 마이닝용 시스템 설계. - 모바일 앱 서비스용 서버 API 설계 및 개발. - 주소록 동기화, Confirmed Push 경험 하신 분 우대. - 자바, Python..."
e25f3da3cf8ec49e,[어니컴(주)] 빅데이터 분석/시스템구축개발자 (신입/경력),어니컴 서울 서대문구,,프로젝트 수행 경험 - R과 Python 모두 가능한 자 - 대용량 처리시... Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>tensorflow|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터...
a7798171573a104e,AI Product Developer 모집,엔씨소프트 2.7 성남 판교역,,"조건 - 서버 또는 클라이언트 프로그래밍 개발 경험 보유 - 숙력된 프로그래밍 스킬: C++, C#, Python 등을 활용하여 프로그래밍을 능숙하게 할 수 있거나 빠르게 신규 언어를 습득하여 사용할 수 있는 능력 - OOP..."
75291751255b54e3,Senior Business Analyst (Coupang Eats),Coupang 3.0 서울,,"business degree (MS or MBA) Business-level experience with Python as a plus Previous experience in e-commerce, food delivery..."
3b0f0eafaace52df,영상처리 머신비전 3D데이터 핸들링 등 SW 알고리즘 개발자,17년차 중소기업 / 철도 시설물 변형 자동 측정 시스템 개발 경기도 군포,,"등) - 오픈 라이브러리 사용 경험자 (opencv, vtx 등) - 개발환경 개발언어 : VC++, Python 개발 O.S : Windows 개발 툴 : OpenCV, Halcon GUI : MFC, (QT 개발 가능자..."
76730b837fd4d4d7,Support Engineer _ Azure PaaS,Microsoft 4.2 서울,,"Java, Node, Python, PHP and Ruby, .NET... Linux, NGNIX, Apache, Java, Node, Python, PHP and Ruby • Experience with customer..."
8289fe02a353fc85,"Engineering Manager, Server",Sendbird 서울,,goals Hands-on experience building SaaS-based API Proficient in Python or Java Ability to find the optimal solution given...
dcecd1d860e25ebe,[AI R&D] ML 엔지니어 수시 모집,엔씨소프트 2.7 성남 판교역,,개발 지원자격 학력 : 학사 이상 경력기간 : 3년 ~ 필수조건 - ML에 주로 사용되는 언어(R/ Python)에 능숙하신 분 - ML 도구(scikit-learn/Spark MLlib/Tensorflow/Pytorch 등...
3c1331c8e7e611fe,인증아이템 신규 플랫폼 서버 개발자 모집,카카오 4.0 성남 판교역,,"분 모바일 환경을 위한 API 시스템 개발 경험이 있는 분 특정 언어 하나에 능숙하신 분으로, 배워서라도 Python 또는 Ruby 개발이 가능한 분 [우대사항] 백엔드 서버와 웹 프런트엔드 모두 개발 가능한 분 필독사항..."
f8884a7f8067fd39,"Principal, Business Analyst (SCM Systems...",Coupang 3.0 서울,,"analysis experience One who has experience with SQL, Excel, Python, and R/SAS or any statistical package Preferred: One who..."
3b752abecf619fe5,채팅모듈 개발자,Nexon 성남 분당구,,"대사항 - 대규모 동시 접속 및 고용량 데이터 처리 경험 - Unix/Linux 시스템에 대한 이해 - Python, Java, Event-Driven Framework에 대한 이해 - TCP/IP와 네트워크 프로그래밍..."
206ee1ecc1a37990,Senior Backend Developer,KidsLoop 서울,,"skills in Korean or English Bonus Skills Experience with Python Experience with Redis, Memcached or similar Experience..."
5d39858ca29cfa6d,시스템 엔지니어,Success Korea 서울 삼성동,,"유한 엔지니어 (3년이상 ~12년 사이) - Shell, Perl, Python중 1개이상의 언어에 능숙한 전문가 우대 - DNS/GSLB, Load... 사이) - Shell, Perl, Python중 1개이상의 언어에 능숙한..."
8e6657a5f7faa7f0,빅데이터 분석,Success Korea 서울 삼성동,,"프로그래밍 언어 중 한 개 이상 사용 가능자(R/SPLUS, Python, JAVA, etc.) [전형절차] 서류전형-기술test(온라인테스트)-1... 사용 가능자(R/SPLUS, Python, JAVA, etc.) [전형절..."
e4f1914b34f03ca2,Deep Learning R&D Engineer,Intel 4.1 서울,,"Caffe, and MxNet Strong programming skills with C/C++ and Python Experiences on programming and testing on Linux environment..."
ee7e4f2e5d69f84c,DRE - Build Engineer,Success Korea 서울,,OO programming language · Experience with Python or related scripting language... Experience with Python or related...
ee7e4f2e5d69f84c,DRE - Build Engineer,Success Korea 서울,,OO programming language · Experience with Python or related scripting language... Experience with Python or related...
f2e8324d211ea289,데이터프로덕트 서버 개발자 (2년 이상),우아한 형제들 서울 송파구,,운영 경험을 보유하신 분 [우대사항] - Spring batch 등을 활용한 배치 개발경험을 보유하신 분 - Python(Flask/Django)을 활용한 서비스 개발경험을 보유하신 분 - 머신러닝에 대한 이해를 갖추신 분...
ba020dbad779cf77,Mobile Field Applications Engineer,Dolby 서울,,"level of programming language skills (C/C++, Java/Android, Python) is required. Excellent written and verbal communication..."
04751aa927de1b32,금융IT(UI/UX개발) 인재,에셋플러스자산운용 대한민국,,"및 백엔드 개발) 및 모바일 환경 확장 - UI/UX개발 유경험자 - Python기반 프레임워크,(Django등)를 이용한 웹서비스 개발 2) 자격... 보유 인재 - mysql, Python, 유경험자 (우대사항) - 영어능..."
